Название,КОПУК,Адрес,"Число предметов основного фонда на конец года, единиц","Число предметов научно-вспомогательного фонда на конец года, единиц","Число музейных предметов, внесенных в электронный каталог музея, единиц","Число выставок – всего, единиц (сумма гр.5,6,7)","Число посещений – всего, тыс.чел. (сумма гр.4,7)","Численность работников - всего, человек","Число строений - всего, единиц"
Белоярский выставочный зал,129298,"628162 Ханты-Мансийский а.о., г.Белоярский, мкр.4а, дом 2",4710,1616,5377,67,17.5,17,3
Музей истории Шалинского района,132873,"623030 Свердловская обл., п.Шаля, ул.Кирова, 37",1300,820,0,101,5.6,8,1
МГСША Сергея Андрияки с муз.-выст.компл.,137044,"105064 г.Москва, Гороховский пер., 17, стр.1",269,16,269,40,15.4,21,1
"Архит.-этногр.музей-зап. ""Лудорвай""",127953,"426057 Респ.Удмуртия, г.Ижевск, ул.Пастухова, 13",4615,1364,2148,13,40,43,13
Георгиевский ист.-краеведческий музей,112093,"357820 Ставропольский край, г.Георгиевск, ул.Лермонтова-Госпитальная, 78-103",46737,10714,29278,20,16,12,3
Питкярантский гор.краеведческий музей,126001,"186810 Респ.Карелия, г.Питкяранта, ул.Ленина, 46",4677,3950,1302,18,2.3,11,1
"Музей-усадьба А.М.Герасимова, Мичуринск",122994,"393760 Тамбовская обл., г.Мичуринск, ул.Герасимова, 88",3359,836,438,26,27.9,23,5
Большетиганский краеведческий музей  им.Салиха Баттала,149319,"422911 Республика Татарстан, Алексеевский р-н, с.Большие Тиганы, ул.Г.Тукая, 26а",1300,1244,380,13,1.4,2,1
"Гос.ист.-арх.и прир.зап.""Парк Монрепо""",117771,"188800 Ленинградская обл., г.Выборг, п.Северный",2977,3519,6496,11,165.3,72,10
"Момский краеведческий музей, с.Хонуу",128929,"678860 Респ.Саха(Якутия), Момский улус, с.Хонуу, ул.Школьная, 2",927,0,0,6,2.1,2,1
Музей-усадьба художника Н.Н.Хохрякова,143308,"610000 г.Киров, Копанский пер., 4",0,0,0,5,8.8,4,1
"Музей ""Астрача, 1941""",130204,"187642 Ленинградская обл., Бокситогорский р-н, д.Астрача, 33",0,0,0,12,2.5,6,1
Музей истории Сабинского лесного хоз-ва,149222,"422062 Республика Татарстан, Сабинский р-н, п.Лесхоз, ул.Кукморская, 14",637,351,0,5,2,3,1
"Дом-музей братьев Пироговых, Новоселки",121968,"391133 Рязанская обл., Рыбновский р-н, с.Новоселки",1595,0,0,25,3.6,8,4
Краеведческий музей на ст.Юрга-2,116156,"652092 Кемеровская обл., Юргинский р-н, п.ст.Юрга-2, ул.Новая, 24",14168,5498,70,71,3.1,5,0
Феодосийский музей древностей,142432,"298100 Республика Крым, г.Феодосия, пр.Айвазовского, 11",67109,21848,0,97,62.4,23,3
"Муниц.музей истории усадьбы ""Щапово""",131419,"142144 г.Москва, пос.Щаповское, 13",8942,1414,0,4,3.2,12,1
Дом-музей Петра I,113783,"160012 г.Вологда, Советский пр., 47",0,0,0,1,6.6,2,1
"КИК ""Царевококшайский Кремль""",148808,"424031 г.Йошкар-Ола, ул.Вознесенская, 49",0,0,0,19,69.5,21,3
"Музей-заповедник ""Пилигрим""",142562,"298500 Республика Крым, г.Алушта, ул.Верхний тупик, 3",0,0,0,1,0,1,7
Музей А.Д.Сахарова,114470,"603137 г.Нижний Новгород, пр.Гагарина, 214",1165,688,0,6,2.9,10,1
Музей истории молодежного движения,121949,"390046 г.Рязань, ул.Свободы, 79",19388,1887,10237,48,15.5,24,1
"Усольский историко-архитектурный музей-заповедник ""Усолье Строгановское""",143219,"618460 Пермский край, г.Усолье, ул.Богородская, 15",45,0,0,2,17.6,14,1
Орловский краеведческий музей,110450,"612270 Кировская обл., г.Орлов, ул.Орловская, 60",3547,1930,835,16,9.9,5,2
Иловлинск.музей нар.арх.и быта дон.казак,114767,"403071 Волгоградская обл., п.Иловля, ул.Железнодорожная, 26",1248,72,1320,4,6.3,11,6
Усть-Илимская картинная галерея,114860,"666683 Иркутская обл., г.Усть-Илимск, пр.Мира, 7 а/я 997",1701,127,0,56,7.4,14,1
Оленинский краеведческий музей,134563,"172400 Тверская обл., Оленинский р-н, п.Оленино, ул.Октябрьская, 8",1063,336,0,21,4.1,3,1
Радищевский краеведческий музей,133965,"433910 Ульяновская обл., п.Радищево, ул.Свердлова, 18",1849,53,0,30,1.2,1,1
Музей истории и развития Первомайского р-на,142748,"630102 г.Новосибирск, ул.Первомайская, 148",5110,1179,102,10,4.2,7,1
Ист.-краеведческий музей Илекского р-на,141567,"462830 Оренбургская обл., Илекский р-н, с.Илек, ул.Октябрьская, 14",4315,1100,3200,32,5.5,4,3
Краеведческий музей им.Т.В.Великородовой с.п.Вата,130115,"628636 Ханты-Мансийский а.о.,Нижневартовский р-н,д.Вата,ул.Лесная, 18-1",5050,3405,3900,30,12.5,5,1
Республиканский музей Боевой Славы,110022,"450044 г.Уфа, ул.Комарова, 7",5539,6554,0,29,42.1,22,1
"Музей С.Юлаева, с.Малояз",124684,"452490 Респ.Башкортостан, Салаватский р-н, с.Малояз, ул.Советская, 88",1430,3066,0,10,19.2,11,1
Покачевский краеведческий музей,129175,"628661 Ханты-Мансийский а.о.,г.Покачи,ул.Комсомольская,4",4310,2228,6538,33,3.1,6,2
Музей истории донских казаков,131851,"403562 Волгоградская обл., ст-ца Клетская, ул.Ленина, 39",2184,5032,0,34,3.9,5,1
"Музей ""Селитренное городище""",132271,"416022 Астраханская обл., Харабалинский р-н, с.Селитренное",0,0,0,0,0.6000000000000001,2,1
Елабужский ист.-арх. и худож.муз.-зап.,127273,"423630 Респ.Татарстан, г.Елабуга, ул.Гассара, 9",36995,23504,22612,77,467.5,136,29
Знаменский историко-краеведческий музей,135316,"646550 Омская обл., с.Знаменское, ул.Пролетарская, 10",6138,254,3211,28,6.1,4,2
Моздокский краеведческий музей,126849,"363760 Респ.Сев.Осетия-Алания, г.Моздок, ул.Кирова, 22",15018,3478,750,12,3.2,9,1
Каменск-Уральский краеведческий музей,122424,"623409 Свердловская обл., г.Каменск-Уральский, ул.Коммолодежи, 1",54065,21804,615,50,37.8,24,3
Согратлинский краеведческий музей,134370,"368354 Республика Дагестан, Гунибский р-н, с.Согратль",2600,1025,0,6,7.8,7,1
"Музей истории Сибирского тракта,с.Дебесы",127574,"427060 Удмуртская Респ., с.Дебесы, ул.Советская, 27",2915,752,0,22,10,11,2
Карсунский худож.-краеведческий музей,133950,"433210 Ульяновская обл., п.Карсун, ул.Советская, 16",15780,1650,0,49,2.8,4,1
Фурмановская карт.галерея им.Трубникова,114637,"155520 Ивановская обл., г.Фурманов, ул.Советская, 9",3406,350,0,29,6.6,7,2
Аркадакский краеведческий музей,122195,"412210 Саратовская обл., г.Аркадак, ул.Калинина, 5",6716,2346,40,11,4,6,1
Березовский этнографический музей,128971,"678789 Респ.Саха(Якутия), Среднеколымский улус, с.Березовка",1825,57,0,10,0.6000000000000001,1,1
Дзержинский краеведческий музей,114381,"606000 Нижегородская обл., г.Дзержинск, пр.Дзержинского, 8/5",41471,24674,1365,21,15.7,11,1
Усольский историко-архитектурный музей,135903,"618460 Пермский край, г.Усолье, ул.Спасская, 36",1391,3007,708,15,36.7,14,5
"Мем.дом-музей Мамсуровых, с.Ольгинское",126957,"363002 Респ.Сев.Осетия-Алания, с.Ольгинское, ул.Пролетарская, 47",0,0,0,0,0,1,1
Какашуринский краеведческий музей,128350,"368533 Респ.Дагестан, Карабудахкентский р-н, с.Какашура",2879,2357,0,10,8,6,1
Кисловодский выставочный зал,130789,"357700 Ставропольский край, г.Кисловодск, ул.Азербайджанская, 17",0,0,0,28,15.1,14,1
Заларинский историко-краеведческий музей,116885,"666322 Иркутская обл., п.Залари, ул.Ленина, 76",5375,5590,20,82,15.5,5,2
Обоянский краеведческий музей,133823,"306230 Курская обл., г.Обоянь, ул.Ленина, 29",3202,1905,0,17,8.1,4,1
"Чердынский музей истории ""Веры""",130011,"618601 Пермский край, г.Чердынь, ул.Успенская, 59",0,0,0,10,5.4,4,1
Ненецкий окр.краеведческий музей,112668,"166000 Архангельская обл., Ненецкий а.о., г.Нарьян-Мар, ул.Победы, 5",13851,26889,3656,28,15.8,44,1
Заволжский худож.-краеведческий музей,140329,"155410 Ивановская обл., г.Заволжск, ул.Фрунзе, 2",2632,941,0,5,2,14,1
Централизованная музейная система Ядринского  района,140371,"429060 Чувашская Респ., г.Ядрин, ул.30 лет Победы, 1",5882,958,0,67,7,7,10
Музейно-выставочный комплекс в г.Алагире,126853,"363240 Респ.Сев.Осетия-Алания, г.Алагир, ул.Алагирская, 117",6350,1380,0,11,9.1,24,2
Троицкий краеведческий музей,123906,"457100 Челябинская обл., г.Троицк, ул.Ленина, 70",30128,10052,29228,48,13.2,32,4
Жиганский улусный исторический музей,128810,"678330 Респ.Саха(Якутия), с.Жиганск, ул.Октябрьская, 19а",6529,3980,6303,26,3.7,10,2
Игринский краеведческий музей,128257,"427145 Респ.Удмуртия, Игринский р-н, п.Игра, ул.Советская, 25",4444,1419,0,15,10.3,16,1
"Мем.музей-усадьба М.Мусоргского,Наумово",121262,"182001 Псковская обл., Куньинский р-н, п.Наумово",3091,2943,457,5,7.5,15,13
Белебеевская художественная галерея,130577,"452009 Респ.Башкортостан, г.Белебей, ул.Волгоградская, 5/1",1408,1584,0,30,21.3,8,1
Кингисеппский ист.-краеведческий музей,118077,"188480 Ленинградская обл., г.Кингисепп, пр.К.Маркса, 1",16615,3644,20259,24,7.2,10,1
Никифоровский краеведческий музей,130242,"393000 Тамбовская обл., Никифоровский р-н, п.Дмитриевка, ул.Коммунальная, 20",547,183,0,29,1.1,2,1
Кормиловский ист.-краеведческий музей,129669,"646970 Омская обл., п.Кормиловка, ул.50 лет Октября, 5в",3690,1265,3690,22,7.5,3,1
Переволоцкий нар.ист-краеведческий музей,141586,"461263 Оренбургская обл., Переволоцкий р-н, п.Переволоцк, ул.Ленинская, 117",2766,1638,0,27,4.3,2,1
Иркутский обл.ист.-мем.музей декабристов,114926,"664007 г.Иркутск, пер.Волконского, 10",3807,7391,11198,17,30.5,67,12
Музей им.А.М.Кошурникова,130454,"662950 Красноярский край, Курагинский р-н, п.Кошурниково, ул.Невского, 12",0,0,0,5,1.2,3,1
Музей-усадьба И.К.Калашникова,139798,"671342 Респ.Бурятия, Мухоршибирский р-н, с.Шаралдай",475,49,0,36,2.3,1,1
Кирилло-Белозерский ист-арх.худ.муз-зап.,113904,"161100 Вологодская обл.,г.Кириллов,Заповедная зона,Соборная пл.,1",47353,18601,46592,57,228.9,172,47
Суражский краеведческий музей,113270,"243500 Брянская обл., г.Сураж, ул.Ленина, 73",3945,2173,0,32,13.6,6,1
Осинский краеведческий музей,121070,"618120 Пермский край, г.Оса, ул.Свердлова, 2",4381,2368,2430,9,17.8,19,2
Алдан-Маадырск.ист.-краеведческий музей,127428,"668160 Респ.Тыва, Сут-Хольский р-н, с.Алдан-Маадыр, ул.Дажы Намчала, 71",0,0,0,13,0.9,5,1
Краеведческий музей Мензелинского муниципального района,127042,"423700 Респ.Татарстан, г.Мензелинск, ул.К.Маркса, 46",11416,3257,1564,45,9.1,9,1
Новенский филиал,136427,"309115 Белгородская обл., Ивнянский р-н, с.Новенькое, ул.Куйбышева, 116",1386,382,1548,12,1.4,2,1
Волжский краеведческий музей,126439,"425000 Респ.Марий Эл, г.Волжск, ул.Коммунистическая, 2",5314,3697,0,23,3.1,5,1
Мемориальный музей Мусы Джалиля,127907,"423700 Респ.Татарстан, г.Мензелинск, ул.М.Джалиля, 18",1582,1203,93,13,3.1,2,1
Гиагинский районный краеведческий музей  им.П.П.Тынченко,110874,"385600 Респ.Адыгея, ст-ца Гиагинская, ул.Центральная, 32",17124,5339,2361,17,4.1,3,1
Шабалинский районный краеведческий музей,134332,"612020 Кировская обл., Шабалинский р-н, п.Ленинское, пл.Ленина, 2",5310,503,0,20,7.4,1,1
Гос.музей В.В.Маяковского,118999,"101000 г.Москва, Лубянский пр., 3/6, стр.4",49917,13609,199,6,0,38,7
Музей Берингийского наследия,118414,"689251 Чукотский а.о., Провиденский р-н, п.Провидения, ул.Дежнева, 43",14301,4105,5050,24,3.6,11,1
Музей В.Ф.Раевского,136342,"309173 Белгородская обл., Губкинский р-н, с.Богословка, ул.Школьная, 39",0,0,0,25,15.2,6,1
Балахтинский районный краеведческий музей,142061,"662340 Красноярский край, п.Балахта, ул.Ленина, 48",1700,900,0,30,3.4,5,1
Междуреченский худож-краеведческий музей,138969,"161050 Вологодская обл., Междуреченский р-н, с.Шуйское, ул.Сухонская набережная, 16",3621,778,2514,26,3.4,4,1
"Музей А.Мубарякова, с.Ассы",138013,"453562 Респ.Башкортостан, Белорецкий р-н, с.Ассы",485,149,0,7,6.5,2,1
"Ист.-краеведческий музей, Прохладный",125545,"361045 Кабардино-Балкарская Респ.,г.Прохладный,ул.Свободы,138",6470,928,0,6,3.6,4,1
Музей партизанской славы п.Пожня,115261,"172862 Тверская обл., Торопецкий р-н, Пожинский с/с, д.Пожня",0,0,0,0,0.7000000000000001,1,1
Сухобузимский краеведческий музей,130420,"663040 Красноярский край, с.Сухобузимское, ул.Калинина, 9а",2581,1280,325,17,2.1,8,1
Калангуйский краеведческий музей,137684,"674510 Забайкальский край, Оловяннинский р-н, п.Калангуй, ул.Ведерникова, 37",4374,726,0,21,4.7,2,1
Тужинский краеведческий музей,116599,"612200 Кировская обл., п.Тужа, ул.Фокина, 3",2468,2272,0,21,5.7,4,1
Самарская детская картинная галерея,133630,"443010 г.Самара, ул.Куйбышева, 139",21255,6120,14448,37,32.4,74,4
Беломечетский ист.-краеведческий музей,130793,"357024 Ставропольский край, Кочубеевский р-н, ст-ца Беломечетская",4787,1315,0,22,5.6,3,1
Лебяжьевский ист.-краеведческий музей,131974,"641500 Курганская обл., п.Лебяжье, ул.Советская, 68",7803,1455,0,53,13,5,1
Белокалитвинский ист-краеведческий музей,131654,"347040 Ростовская обл., г.Белая Калитва, ул.Большая, 2",7370,13804,7200,13,4.7,20,1
Городовиковский филиал,125757,"359050 Респ.Калмыкия, г.Городовиковск, ул.Ленина, 13",0,0,0,7,1.9,4,1
Музей истории золотодобычи Сев-Енис.р-на,140812,"663282 Красноярский край, п.Северо-Енисейский, ул.Ленина, 42",2694,5881,4030,18,5.5,11,0
Музей Г.Ибрагимова,139849,"453498 Респ.Башкортостан,Аургазинский р-н,с.Султанмуратово,ул.Центральная,44б",2408,170,0,18,5.2,1,1
Чусовской краеведческий музей,135763,"618206 Пермский край, г.Чусовой, ул.50 лет ВЛКСМ, 10",12574,6662,12145,21,13.6,9,2
Ессентукский историко-краеведческий музей,112028,"357600 Ставропольский край, г.Ессентуки, ул.Кисловодская, 5",25122,11171,25124,23,30.1,15,2
Темрюкский историко-археологическ.музей,111222,"353500 Краснодарский край, г.Темрюк, ул.Ленина, 28",18129,9314,11161,12,98,41,3
Котласский краеведческий музей,112634,"165300 Архангельская обл., г.Котлас, ул.П.Виноградова, 22",25137,6691,9478,16,7.5,19,4
Корткеросский ист.-краеведческий музей,126232,"168020 Респ.Коми, Корткеросский р-н, с.Корткерос, ул.Первомайская, 10",11495,12435,409,61,6.8,8,3
Воскресенский краеведческий музей,140723,"606730 Нижегородская обл., п.Воскресенское, ул.Пушкина, 55",4078,1732,480,13,6.8,11,5
"Арский ист.-этногр.музей ""Казан арты""",149291,"422000 Республика Татарстан, г.Арск, ул.Сызгановых, 22",10905,2631,0,35,7.8,18,2
Музей им.С.Герасимова с.Кундравы,137504,"456410 Челябинская обл., Чебаркульский р-н, с.Кундравы, ул.Комсомольская, 61",11747,8113,0,5,4.7,2,1
Юхновский районный краеведческий музей,115632,"249910 Калужская обл., г.Юхнов, ул.Кирова, 20",3393,781,0,17,3.2,3,1
Музей истории мировых культур и религий,142377,"368608 Респ.Дагестан, г.Дербент, ул.Мира, 3",88,205,1,20,13.2,36,1
Волжский музейно-выставочный комплекс,113603,"404130 Волгоградская обл., г.Волжский, ул.Фонтанная, 10",48936,21610,2300,72,63.5,25,4
"Гос.музей-заповедник ""Павловск""",117445,"196621 г.Санкт-Петербург, Павловск, ул.Садовая, 20",58978,2896,58978,24,380.7,378,69
Болотнинский ист.-краеведческий музей,110535,"633340 Новосибирская обл., г.Болотное, ул.Забабонова, 1а",3719,2232,425,130,12,8,1
Лениногорский краеведческий музей,127095,"423270 Респ.Татарстан, г.Лениногорск, ул.Шашина, 18",11161,2892,4571,18,6.7,7,1
Мем.дом-музей М.Н.Ербанова в с.Бахтай,132642,"669468 Иркутская обл., Аларский р-н, с.Бахтай",0,0,0,4,0.8,1,1
Бабаевский краеведческий музей,113976,"162480 Вологодская обл., г.Бабаево, пер.Юных Пионеров, 2",6566,1226,2799,11,4.2,4,1
Кирово-Чепецкий музейно-выст.центр,116576,"613040 Кировская обл., г.Кирово-Чепецк, пр.Мира, 3",7378,7802,2108,32,33.2,8,1
"Центр.выставочный зал ""Манеж""",117642,"190000 г.Санкт-Петербург, Исаакиевская пл., 1",2833,80,2582,34,68.4,86,3
Мем.-литературный музей А.П.Бондина,136253,"622001 Свердловская обл., г.Нижний Тагил, ул.Красноармейская, 8",0,0,0,2,3.5,5,1
"Музей ""Этапный пункт"" д.Бачкеево",139158,"427151 Респ.Удмуртия, Игринский р-н, д.Бачкеево, ул.Сибирская, 16",0,0,0,2,2.1,4,1
Тихорецкий гор.ист.-краеведческий музей,111190,"352120 Краснодарский край, г.Тихорецк, ул.Кирова, 19",17991,3207,17991,37,34.3,16,1
Кесовогорский краеведческий музей,135547,"171470 Тверская обл., п.Кесова Гора, ул.Кооперативная, 1а",1899,0,0,8,2,3,1
Азовский историко-краеведческий музей,129688,"646880 Омская обл., с.Азово, ул.1 Мая, 19",4605,508,1984,53,5.4,7,4
Уральский филиал,130651,"620014 г.Екатеринбург, ул.Добролюбова, 19а",0,0,0,14,5.8,22,2
Мемориальный дом-музей Ахияра Хакимова,132676,"453400 Республика Башкортостан, г.Давлеканово, ул.Набережная, 31",1662,1363,0,12,3,2,1
"Музей Погарского района ""Радогощ""",134811,"243550 Брянская обл., Погарский р-н, п.Погар, пл.Советская, 7",11324,1290,0,50,15.5,4,1
Бакчарский краев.музей сев.садоводства,137928,"636200 Томская обл., Бакчарский р-н, с.Бакчар, ул.Ленина, 51",3692,339,0,29,2.7,3,1
Кинель-Черкасск.ист.-краеведческий музей,133734,"446350 Самарская обл., с.Кинель-Черкассы, ул.Ленинская, 46",3226,263,504,36,9.9,5,1
"Музей К.Э.Циолковского, с.Ижевское",121845,"391071 Рязанская обл., Спасский р-н, с.Ижевское, ул.Зеленая, 23",2563,5351,2960,13,9.9,23,4
Шипуновский краеведческий музей,111453,"658390 Алтайский край, с.Шипуново, Комсомольский пр,, 91",3803,840,0,10,6.9,6,1
Лянторский хантыйский этнографич.музей,137114,"628449 Ханты-Мансийский а.о.,г.Лянтор,ул.Эстонских дорожников,11",8631,1137,8485,74,7.1,53,2
Первоуральский музейно-выставочный центр,136501,"623104 Свердловская обл., г.Первоуральск, ул.Вайнера, 15",871,1265,0,12,25.2,0,0
Угранский районный исторический музей,122814,"215430 Смоленская обл., п.Угра, ул.Улитчева, 30",2784,3089,80,21,5.1,7,3
Государственный музей героической обороны и освобождения Севастополя,141393,"299011 г.Севастополь, Исторический бульвар, 1",96869,35217,38556,48,789,213,20
Музей-усадьба Марко Вовчок,125511,"360000 г.Нальчик, ул.М.Вовчок, 15",460,26,0,1,1.7000000000000002,3,1
Маревский музей краеведения,136179,"175350 Новгородская обл., Маревский р-н, с.Марево, ул.Партизанская, 8",435,407,0,14,1.5,4,1
Музей таежного природопользования,141406,"663245 Красноярский край, Туруханский р-н, с.Бахта, ул.Школьная, 5а",0,0,0,1,0.2,0,0
"Литературно-мем.музей И.А.Бунина, Елец",118293,"399770 Липецкая обл., г.Елец, ул.Горького, 16",40237,1620,0,10,10,0,1
Раздорский этнографический музей-заповедник,121671,"346560 Ростовская обл., Усть-Донецкий р-н, ст-ца Раздорская, ул.Калинина, 117",19972,6828,24834,22,25,44,11
Морукский музей истории наслега,128153,"678077 Респ.Саха(Якутия), Мегино-Кангаласский улус, с.Суола",1991,1872,0,4,0.1,1,1
Дом-музей В.Клыкова,138333,"306600 Курская обл., Советский р-н, п.им.Ленина, ул.Садовая, 103а",0,0,0,1,5,7,1
Музей ист.и краеведения г.Малоярославца,117962,"249096 Калужская обл., г.Малоярославец, ул.Гагарина, 24",6239,8804,0,10,3.4,7,1
Пильнинский районный краеведческий музей,133522,"607490 Нижегородская обл., п.Пильна, ул.Тарлыкова, 8",2048,684,0,30,8.1,4,1
Музейно-выставочный центр г.Железногорск,110792,"662972 Красноярский край, г.Железногорск, ул.Свердлова, 68, а/я 192",19600,67206,33371,19,32.8,62,5
Краеведческий музей Убинского района,133984,"632520 Новосибирская обл., Убинский р-н, с.Убинское, ул.Майская, 4",4691,733,1980,9,7.6,5,1
Гос.музей истории Санкт-Петербурга,117303,"197046 г.Санкт-Петербург, Петропавловская крепость, 3",1089427,249395,950565,91,1710.5,514,30
Краснинский краеведческий музей,122848,"216100 Смоленская обл., п.Красный, ул.Интернациональная, 7",6312,7721,1000,21,7.6,5,1
"Лит-мем.муз.""Дом станционного смотрителя",118043,"188356 Ленинградская обл., Гатчинский р-н, д.Выра, Большой проспект, 32а",3312,1501,4813,43,39.9,21,15
Краеведческий музей Октябрьского района,142678,"346840 Ростовская обл., Октябрьский р-н, п.Каменоломни, пер.Шоссейный, 10в",860,407,400,5,1.1,1,1
"Быстринский этнограф музей, с.Эссо",115909,"684350 Камчатский край,Быстринский р-н,с.Эссо,ул.Набережная,14а",1543,514,10,8,14.8,11,6
Североуральский краеведческий музей,122443,"624480 Свердловская обл., г.Североуральск, ул.Чайковского, 21",11246,3964,94,25,8.9,7,2
Ардатовский краеведческий музей,140511,"607130 Нижегородская обл., п.Ардатов, ул.Зуева, 10",966,0,0,19,1.5,12,1
Мемор.комплекс Славы им.А.А.Кадырова,134116,"364014 г.Грозный, ул.Маяковского",806,442,806,20,53.6,104,3
Серафимовичcкий лит.-краеведческий музей,113637,"403441 Волгоградская обл., г.Серафимович, ул. Серафимовича, 13",25206,13287,79,32,16,6,3
Городецкий ист.-худ.музейный комплекс,114377,"606502 Нижегородская обл., г.Городец, ул.Ленина, 11",18936,8434,885,81,65.3,41,11
Светлоярский ист.-краеведческий музей,138865,"404171 Волгоградская обл., п.Светлый Яр, ул.Советская, 65",1015,1340,937,24,9.2,5,2
Музей Туфана Миннуллина,141637,"422820 Республика Татарстан, Камско-Устьинский р-н, п.Камское Устье, ул.К.Маркса, 106б",0,0,0,3,2.8,3,1
Ильинский краеведческий музей,121135,"617020 Пермский край, Ильинский р-н, п.Ильинский, ул.Ленина, 4",17067,4595,3566,27,11,15,2
Гос.центральный музей кино,134510,"119992 г.Москва, ул.Мосфильмовская, 1, корпус 3",135599,32106,167705,25,5,30,1
Мем.комплекс жертвам полит.репрессий,127964,"386140 Респ.Ингушетия, с.Насыр-Корт",1124,4768,1483,34,16.6,39,1
Большемуртинский краеведческий музей,135481,"663060 Красноярский край, п.Большая Мурта, пер.Центральный, 8",1894,836,160,30,4.8,4,1
Ефремовский дом-музей И.А.Бунина,137059,"301840 Тульская обл., г.Ефремов, ул.Тургенева, 47",201,346,140,15,5.3,6,1
Родинский музей истории и изоискусства,128473,"659780 Алтайский край, с.Родино, ул.Советская, 4",6870,1320,0,15,5.8,4,2
Новокузнецкий краеведческий музей,116067,"654027 Кемеровская обл., г.Новокузнецк, пр.Пионерский, 24",57387,3938,8685,57,93.3,45,2
Саратовский гос.музей Боевой Славы,122022,"410038 г.Саратов, Соколовая гора, парк Победы",18726,7919,26645,49,155.5,101,3
Тепло-Огарев.худож.-краеведческий музей,124133,"301900 Тульская обл., Тепло-Огаревский р-н, п.Теплое, пер.Коммунальный, 8",1471,0,0,43,3,1,1
Сараевский краеведческий музей,146109,"391892 Рязанская обл., Сараевский р-н, с.Б.Можары, ул.Школьная, 85",447,84,0,14,2.7,5,1
Дом-музей Сары Садыковой,137078,"422367 Республика Татарстан, Апастовский р-н, с.Тутаево, ул.Ахтямова, 10а",834,656,0,8,1.9,1,1
Краеведческий музей Бавлинского муниципального района,127339,"423930 Респ.Татарстан, г.Бавлы, ул.Х.Такташа, 19",11605,6043,2982,20,10.6,12,1
Тольяттинский краеведческий музей,116762,"445021 Самарская обл., г.Тольятти, б-р Ленина, 22",46231,24110,27385,52,211.9,50,3
Альменевский районный ист.-краеведческий музей,131476,"641130 Курганская обл., Альменевский р-н, с.Альменево, ул.Кирова, 144",2595,745,0,12,1.3,2,1
Алексеевский историко-краеведческий музей,110376,"446640 Самарская обл.,Алексеевский р-н,с.Алексеевка,ул.Советская,42/44",6011,1324,0,21,0,2,1
Бирилюсский краеведческий музей,129936,"662120 Красноярский край, с.Новобирилюссы, ул.Кочетатская, 6",3525,1840,1000,25,6.5,6,1
Чайковская художественная галерея,121173,"617760 Пермский край, г.Чайковский, ул.Мира, 21",2850,3066,513,19,15.7,13,1
Музей национальной культуры,135123,"420060 г.Казань, ул.Пушкина, 86",31893,17952,550,48,157.3,58,6
Голубковский ист.-этнографический музей,134077,"624647 Свердловская обл., Алапаевский р-н, с.Голубковское, ул.Ленина, 11",2622,2486,0,10,12,3,1
Киржачский историко-краеведческий и художественный музей,113365,"601010 Владимирская обл., г.Киржач, ул.Гагарина, 52",52001,10065,52001,17,17,8,4
Вятский палеонтологический музей,133310,"610000 г.Киров, ул.Спасская, 22",920,1755,761,10,26.4,14,1
Кыринский краеведческий музей,137699,"674250 Забайкальский край, с.Кыра, ул.Комсомольская, 52",7781,4146,0,37,3,2,1
Мем.кварт.семьи актеров Самойловых,117731,"191025 г.Санкт-Петербург, ул.Стремянная, 8",0,0,0,0,21.2,10,1
Краснозерский худож.-краеведческий музей,120255,"632902 Новосибирская обл., п.Краснозерское, ул.Октябрьская, 35",7158,4252,1049,44,6.6,14,1
Акбулакский историко-краеведческий музей,139660,"461550 Оренбургская обл., п.Акбулак, ул.Актюбинская, 89",2222,4151,200,22,3.6,5,6
Анжеро-Судженский краеведческий музей,116141,"652470 Кемеровская обл., г.Анжеро-Судженск, ул.Ленина, 12",42171,6462,1737,100,38.2,12,1
Дом-усадьба художника А.А.Борисова,142057,"165434 Архангельская обл., Красноборский р-н, д.Городищенская, 19а",0,0,0,4,6.5,16,2
Балаганский ист.-этнографический музей,133058,"666391 Иркутская обл., п.Балаганск, ул.Дворянова, 15",4090,464,0,41,4.2,4,1
Магаданский обл. краеведческий музей,118503,"685000 г.Магадан, пр.Маркса, 55",98107,168139,97081,19,18.5,103,2
Нерчинский краеведческий музей,124044,"673400 Забайкальский край, г.Нерчинск, ул.Советская, 83",21744,13526,251,49,13.5,33,2
Анучинский историко-краеведческий музей,134046,"692300 Приморский край, Анучинский р-н, с.Анучино, ул.50 лет ВЛКСМ, 26",7500,230,300,9,4.3,5,2
Армавирский краеведческий музей,111326,"352909 Краснодарский край, г.Армавир, ул.Ленина, 114",48940,45807,6704,27,44.5,21,2
Мем.музей-усадьба А.Твардовского,122737,"216482 Смоленская обл., Починковский р-н, п/о Сельцо, х.Загорье",0,0,0,0,2.2,6,6
Сев-Осет.художественный музей им.М.С.Туганова,126942,"362040 г.Владикавказ, пр.Мира, 12",5683,160,2905,23,14.7,38,1
Сурский историко-краеведческий музей,133791,"433240 Ульяновская обл., п.Сурское, ул.Советская, 86",5111,951,0,32,9.2,2,1
"Гос.ист.заповедник ""Горки Ленинские""",110107,"142712 Московская обл., Ленинский р-н, Горки Ленинские",63532,6717,23281,24,134.7,117,26
"Военно-истор.музей ""Во славу Отчизны""",142625,"214010 Смоленская обл., Смоленский р-н, д.Магалинщина, ул.Садовая, 49",431,8,0,9,0.7000000000000001,3,1
